"BTID";"BLID";"collector";"trapType";"pass";"replicate";"startYear";"startMonth";"startDay";"startHour";"startMinute";"endYear";"endMonth";"endDay";"endHour";"endMinute";"startNESWPhoto_DSC";"endNESWPhoto_DSC";"canolaAdjacent";"percentCanolaBloom";"floralAdjacentNotes";"deployedNotes";"retrievalNotes";"lonTrap";"latTrap";"elevTrap";"locationType";"adjCrop";"oppCrop";"adjCropBloom";"oppCropBloom";"adjMowed";"oppMowed";"created_at";"updated_at";"startjulian";"endjulian";"midjulian";"midyear";"midmonth";"midday";"deployedhours"
"10145-1-A-2015";10145;"S. Johnson";"Blue Vane";1;"A";2015;6;24;11;47;2015;7;1;10;3;"120-127";"";"No";"";"";"cow pasture";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";175;182;179;2015;6;28;166.2666
"10145-2-A-2015";10145;"S. Johnson";"Blue Vane";2;"A";2015;7;1;10;3;2015;7;9;9;58;"";"979-982";"No";"";"5+ spp in ditch + W field";"";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";182;190;186;2015;7;5;191.9166
"10145-3-A-2015";10145;"S. Johnson";"Blue Vane";3;"A";2015;7;9;9;58;2015;7;16;9;8;"";"422-426";"No";"";"clover";"pasture";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";190;197;194;2015;7;13;167.1666
"10145-4-A-2015";10145;"S. Johnson";"Blue Vane";4;"A";2015;7;16;9;8;2015;7;29;9;26;"";"976-979";"No";"";"clover and astrag?";"trap tipped with no spill (vandal?) ";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";197;210;204;2015;7;23;312.3
"10145-5-A-2015";10145;"S. Johnson";"Blue Vane";5;"A";2015;7;29;9;26;2015;8;11;9;48;"";"681-684";"No";"";"vandalized, top off trap, moved barely any samples";"";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";210;223;217;2015;8;5;312.3666
"10212-1-A-2015";10212;"S. Johnson";"Blue Vane";1;"A";2015;6;29;12;22;2015;7;6;12;0;"204-207";"670-675";"No";"";"";"grassland";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";180;187;184;2015;7;3;167.6333
"10212-2-A-2015";10212;"S. Johnson";"Blue Vane";2;"A";2015;7;6;12;0;2015;7;14;12;43;"";"288-291";"No";"";"";"";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";187;195;191;2015;7;10;192.7166
"10212-3-A-2015";10212;"S. Johnson";"Blue Vane";3;"A";2015;7;14;12;43;2015;7;22;12;16;"";"735-738";"No";"";"meliotus in opp side road, alfalfa S";"";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";195;203;199;2015;7;18;191.55
"10212-4-A-2015";10212;"S. Johnson";"Blue Vane";4;"A";2015;7;22;12;16;2015;8;6;12;25;"";"466-469";"No";"";"sparse meliotus";"";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";203;218;211;2015;7;30;360.15
"10212-5-A-2015";10212;"S. Johnson";"Blue Vane";5;"A";2015;8;6;12;25;2015;8;13;11;40;"";"885-888";"No";"";"";"";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";218;225;222;2015;8;10;167.25
"10348-1-A-2015";10348;"S. Johnson";"Blue Vane";1;"A";2015;6;24;9;39;2015;7;1;8;3;"69-74";"228";"No";"";"";"dec. trees";"photo of grass, tive grassland (228)";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";175;182;179;2015;6;28;166.4
"10348-2-A-2015";10348;"S. Johnson";"Blue Vane";2;"A";2015;7;1;8;3;2015;7;9;7;59;"";"951-954";"No";"";"white clover, red clover";"";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";182;190;186;2015;7;5;191.9333
"10348-3-A-2015";10348;"S. Johnson";"Blue Vane";3;"A";2015;7;9;7;59;2015;7;16;7;34;"";"392-395";"No";"";"";"treed";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";190;197;194;2015;7;13;167.5833
"10348-4-A-2015";10348;"S. Johnson";"Blue Vane";4;"A";2015;7;16;7;34;2015;7;29;7;34;"";"948-951";"No";"";"goldenrod across road";"";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";197;210;204;2015;7;23;312.0
"10348-5-A-2015";10348;"S. Johnson";"Blue Vane";5;"A";2015;7;29;7;34;2015;8;11;7;40;"";"653-656";"No";"";"sparse aster, clover";"";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";210;223;217;2015;8;5;312.1
"10399-1-A-2015";10399;"S. Johnson";"Blue Vane";1;"A";2015;6;29;9;29;2015;7;6;9;18;"148-154";"618-622";"No";"";"";"large hill";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";180;187;184;2015;7;3;167.8166
"10399-2-A-2015";10399;"S. Johnson";"Blue Vane";2;"A";2015;7;6;9;18;2015;7;14;9;42;"";"240-243";"No";"";"";"";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";187;195;191;2015;7;10;192.4
"10399-3-A-2015";10399;"S. Johnson";"Blue Vane";3;"A";2015;7;14;9;42;2015;7;22;9;17;"";"687-690";"No";"";"";"tall grass";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";195;203;199;2015;7;18;191.5833
"10399-4-A-2015";10399;"S. Johnson";"Blue Vane";4;"A";2015;7;22;9;17;2015;8;6;9;21;"";"406-409";"No";"";"";"trap tipped, no spill";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";203;218;211;2015;7;30;360.0666
"10399-5-A-2015";10399;"S. Johnson";"Blue Vane";5;"A";2015;8;6;9;21;2015;8;13;8;55;"";"837-840";"No";"";"thistle and toadflax in south field";"";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";218;225;222;2015;8;10;167.5666
"10495-1-A-2015";10495;"S. Johnson";"Blue Vane";1;"A";2015;6;25;10;32;2015;7;2;7;59;"148-152";"163-166";"No";"";"";"wetland W, crop E";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";176;183;180;2015;6;29;165.45
"10495-2-A-2015";10495;"S. Johnson";"Blue Vane";2;"A";2015;7;2;7;59;2015;7;10;7;57;"";"48-51";"No";"";"alfalfa in opp ditch";"";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";183;191;187;2015;7;6;191.9666
"10495-3-A-2015";10495;"S. Johnson";"Blue Vane";3;"A";2015;7;10;7;57;2015;7;17;8;8;"";"Rain";"No";"";"";"THREE traps, heavy rain, 9C, very windy";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";191;198;195;2015;7;14;168.1833
"10495-4-A-2015";10495;"S. Johnson";"Blue Vane";4;"A";2015;7;17;8;8;2015;8;5;7;52;"";"333-336";"No";"";"meliotus in ditch";"";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";198;217;208;2015;7;27;455.7333
"10495-5-A-2015";10495;"S. Johnson";"Blue Vane";5;"A";2015;8;5;7;52;2015;8;12;7;38;"";"765-768";"No";"";"melilotus, aster (sparse), thistle, alfalfa, sparse goldenrod";"";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";217;224;221;2015;8;9;167.7666
"10558-1-A-2015";10558;"S. Johnson";"Blue Vane";1;"A";2015;6;23;11;6;2015;6;30;9;14;"958-967";"";"Yes";"25";"";"early Canola";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";174;181;178;2015;6;27;166.1333
"10558-2-A-2015";10558;"S. Johnson";"Blue Vane";2;"A";2015;6;30;9;14;2015;7;7;8;30;"";"710-713";"Yes";"60";"";"";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";181;188;185;2015;7;4;167.2666
"10558-3-A-2015";10558;"S. Johnson";"Blue Vane";3;"A";2015;7;7;8;30;2015;7;15;8;37;"";"320-323";"Yes";"W:75-80PP, E:50-60PP";"alfalfa in ditch";"";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";188;196;192;2015;7;11;192.1166
"10558-4-A-2015";10558;"S. Johnson";"Blue Vane";4;"A";2015;7;15;8;37;2015;7;27;8;0;"";"876-879";"Yes";"E:5PP, W:10PP";"alfalfa in ditch ";"";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";196;208;202;2015;7;21;287.3833
"10558-5-A-2015";10558;"S. Johnson";"Blue Vane";5;"A";2015;7;27;8;0;2015;8;10;8;12;"";"581-584";"Yes";"E+W: to seed";"alfalfa, thistle";"";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";208;222;215;2015;8;3;336.2
"10669-1-A-2015";10669;"S. Johnson";"Blue Vane";1;"A";2015;6;29;7;29;2015;7;6;7;32;"107-110";"584-587";"No";"";"";"trees/shrub";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";180;187;184;2015;7;3;168.05
"10669-2-A-2015";10669;"S. Johnson";"Blue Vane";2;"A";2015;7;6;7;32;2015;7;14;7;41;"";"207-210";"No";"";"";"";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";187;195;191;2015;7;10;192.15
"10669-3-A-2015";10669;"S. Johnson";"Blue Vane";3;"A";2015;7;14;7;41;2015;7;22;7;16;"";"650-653";"No";"";"";"tall grass";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";195;203;199;2015;7;18;191.5833
"10669-4-A-2015";10669;"S. Johnson";"Blue Vane";4;"A";2015;7;22;7;16;2015;8;6;7;22;"";"378-381";"No";"";"";"";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";203;218;211;2015;7;30;360.1
"10669-5-A-2015";10669;"S. Johnson";"Blue Vane";5;"A";2015;8;6;7;22;2015;8;13;7;23;"";"809-812";"No";"";"tall grass, goldenrod";"";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";218;225;222;2015;8;10;168.0166
"10781-1-A-2015";10781;"S. Johnson";"Blue Vane";1;"A";2015;6;23;13;25;2015;6;30;11;2;"16-20";"";"Yes";"";"";"crop grass E";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";174;181;178;2015;6;27;165.6166
"10781-2-A-2015";10781;"S. Johnson";"Blue Vane";2;"A";2015;6;30;11;2;2015;7;7;10;26;"";"747-750";"Yes";"";"";"freshly mowed ditch";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";181;188;185;2015;7;4;167.4
"10781-3-A-2015";10781;"S. Johnson";"Blue Vane";3;"A";2015;7;7;10;26;2015;7;15;10;39;"";"356-359";"Yes";"W:75-80PP";"";"";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";188;196;192;2015;7;11;192.2166
"10781-4-A-2015";10781;"S. Johnson";"Blue Vane";4;"A";2015;7;15;10;39;2015;7;27;9;53;"";"912-915";"Yes";"W:25PP";"";"";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";196;208;202;2015;7;21;287.2333
"10781-5-A-2015";10781;"S. Johnson";"Blue Vane";5;"A";2015;7;27;9;53;2015;8;10;10;6;"";"617-620";"Yes";"W: to seed";"";"";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";208;222;215;2015;8;3;336.2166
"10832-1-A-2015";10832;"S. Johnson";"Blue Vane";1;"A";2015;6;26;13;11;2015;7;3;11;10;"430-433";"372-375";"No";"";"";"pasture";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";177;184;181;2015;6;30;165.9833
"10832-2-A-2015";10832;"S. Johnson";"Blue Vane";2;"A";2015;7;3;11;10;2015;7;13;11;12;"";"179-182";"No";"";"";"";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";184;194;189;2015;7;8;240.0333
"10832-3-A-2015";10832;"S. Johnson";"Blue Vane";3;"A";2015;7;13;11;12;2015;7;21;11;32;"";"613-616";"No";"";"sparse goldenrod";"";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";194;202;198;2015;7;17;192.3333
"10832-4-A-2015";10832;"S. Johnson";"Blue Vane";4;"A";2015;7;21;11;32;2015;8;7;10;38;"";"549-552";"No";"";"";"mowed, trap moved slightly ";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";202;219;211;2015;7;30;407.1
"10832-5-A-2015";10832;"S. Johnson";"Blue Vane";5;"A";2015;8;7;10;38;2015;8;14;10;21;"";"971-974";"No";"";"alfalfa in North field";"";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";219;226;223;2015;8;11;167.7166
"10901-1-A-2015";10901;"S. Johnson";"Blue Vane";1;"A";2015;6;24;12;23;2015;7;1;10;43;"239-243";"";"No";"";"";"shrub";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";175;182;179;2015;6;28;166.3333
"10901-2-A-2015";10901;"S. Johnson";"Blue Vane";2;"A";2015;7;1;10;43;2015;7;9;10;38;"";"995-998";"No";"";"3+ spp in ditch";"";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";182;190;186;2015;7;5;191.9166
"10901-3-A-2015";10901;"S. Johnson";"Blue Vane";3;"A";2015;7;9;10;38;2015;7;16;9;39;"";"431";"No";"";"clover past peak";"wide highway ditch, grass";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";190;197;194;2015;7;13;167.0166
"10901-4-A-2015";10901;"S. Johnson";"Blue Vane";4;"A";2015;7;16;9;39;2015;7;29;10;44;"";"988-991";"No";"";"meliotus, clover, alfalfa in ditch";"";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";197;210;204;2015;7;23;313.0833
"10901-5-A-2015";10901;"S. Johnson";"Blue Vane";5;"A";2015;7;29;10;44;2015;8;11;10;48;"";"693-696";"No";"";"melilotus, sparse alfalfa and aster, late clover (ditch)";"";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";210;223;217;2015;8;5;312.0666
"10962-1-A-2015";10962;"S. Johnson";"Blue Vane";1;"A";2015;6;29;8;49;2015;7;6;8;40;"128-133";"606-609";"No";"";"";"railway";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";180;187;184;2015;7;3;167.85
"10962-2-A-2015";10962;"S. Johnson";"Blue Vane";2;"A";2015;7;6;8;40;2015;7;14;8;59;"";"227-230";"No";"";"";"tall grass";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";187;195;191;2015;7;10;192.3166
"10962-3-A-2015";10962;"S. Johnson";"Blue Vane";3;"A";2015;7;14;8;59;2015;7;22;8;33;"";"671-674";"No";"";"sparse meliotus in ditch ";"tall grass";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";195;203;199;2015;7;18;191.5666
"10962-4-A-2015";10962;"S. Johnson";"Blue Vane";4;"A";2015;7;22;8;33;2015;8;6;8;36;"";"394-397";"No";"";"meliotus, thistle, goldenrod ";"";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";203;218;211;2015;7;30;360.05
"10962-5-A-2015";10962;"S. Johnson";"Blue Vane";5;"A";2015;8;6;8;36;2015;8;13;8;19;"";"825-828";"No";"";"melilotus, thistle, goldenrod (ditches)";"";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";218;225;222;2015;8;10;167.7166
"11082-1-A-2015";11082;"S. Johnson";"Blue Vane";1;"A";2015;6;29;10;12;2015;7;6;9;51;"164-167";"632-635";"No";"";"";"pasture";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";180;187;184;2015;7;3;167.65
"11082-2-A-2015";11082;"S. Johnson";"Blue Vane";2;"A";2015;7;6;9;51;2015;7;14;10;24;"";"252-255";"No";"";"sparse goldenrod";"";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";187;195;191;2015;7;10;192.55
"11082-3-A-2015";11082;"S. Johnson";"Blue Vane";3;"A";2015;7;14;10;24;2015;7;22;10;1;"";"699-702";"No";"";"";"trap tipped, no spill";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";195;203;199;2015;7;18;191.6166
"11082-4-A-2015";11082;"S. Johnson";"Blue Vane";4;"A";2015;7;22;10;1;2015;8;6;10;0;"";"418-421";"No";"";"thistle, aster, goldenrod";"";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";203;218;211;2015;7;30;359.9833
"11082-5-A-2015";11082;"S. Johnson";"Blue Vane";5;"A";2015;8;6;10;0;2015;8;13;9;33;"";"849-852";"No";"";"goldenrod, aster, thistle";"";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";218;225;222;2015;8;10;167.55
"11395-1-A-2015";11395;"S. Johnson";"Blue Vane";1;"A";2015;6;24;12;1;2015;7;1;10;21;"128-134";"";"No";"";"";"shrub";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";175;182;179;2015;6;28;166.3333
"11395-2-A-2015";11395;"S. Johnson";"Blue Vane";2;"A";2015;7;1;10;21;2015;7;9;10;12;"";"983-986";"No";"";"dense melilotus, clover in ditch";"";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";182;190;186;2015;7;5;191.85
"11395-3-A-2015";11395;"S. Johnson";"Blue Vane";3;"A";2015;7;9;10;12;2015;7;16;9;16;"";"427-430";"No";"";"clover, meliotus";"";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";190;197;194;2015;7;13;167.0666
"11395-4-A-2015";11395;"S. Johnson";"Blue Vane";4;"A";2015;7;16;9;16;2015;7;29;9;41;"";"980-983";"No";"";"dense meliotus, clover, goldenrod, some cinquefoil ";"";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";197;210;204;2015;7;23;312.4166
"11395-5-A-2015";11395;"S. Johnson";"Blue Vane";5;"A";2015;7;29;9;41;2015;8;11;10;3;"";"685-688";"No";"";"melilotus, goldenrod, late clover, thistle, aster";"";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";210;223;217;2015;8;5;312.3666
"11399-1-A-2015";11399;"S. Johnson";"Blue Vane";1;"A";2015;6;25;12;45;2015;7;2;9;36;"206-209";"189-195";"No";"";"";"pasture, tive grassland?";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";176;183;180;2015;6;29;164.85
"11399-2-A-2015";11399;"S. Johnson";"Blue Vane";2;"A";2015;7;2;9;36;2015;7;10;9;20;"";"69-72";"No";"";"sparse flowers";"";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";183;191;187;2015;7;6;191.7333
"11399-3-A-2015";11399;"S. Johnson";"Blue Vane";3;"A";2015;7;10;9;20;2015;7;17;9;7;"";"Rain";"No";"";"";"cow pasture, trap blown over several feet from location";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";191;198;195;2015;7;14;167.7833
"11399-4-A-2015";11399;"S. Johnson";"Blue Vane";4;"A";2015;7;17;9;7;2015;8;5;9;9;"";"350-353";"No";"";"goldenrod, meliotus, alfalfa in ditch ";"";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";198;217;208;2015;7;27;456.0333
"11399-5-A-2015";11399;"S. Johnson";"Blue Vane";5;"A";2015;8;5;9;9;2015;8;12;8;47;"";"781-784";"No";"";"goldenrod, melilotus in ditch";"";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";217;224;221;2015;8;9;167.6333
"11482-1-A-2015";11482;"S. Johnson";"Blue Vane";1;"A";2015;6;23;11;37;2015;6;30;9;36;"976-979";"";"No";"";"";"forage";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";174;181;178;2015;6;27;165.9833
"11482-2-A-2015";11482;"S. Johnson";"Blue Vane";2;"A";2015;6;30;9;36;2015;7;7;8;54;"";"718-721";"No";"";"";"";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";181;188;185;2015;7;4;167.3
"11482-3-A-2015";11482;"S. Johnson";"Blue Vane";3;"A";2015;7;7;8;54;2015;7;15;9;0;"";"328-331";"No";"";"";"trap tipped, no spill, mowed over?";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";188;196;192;2015;7;11;192.1
"11482-4-A-2015";11482;"S. Johnson";"Blue Vane";4;"A";2015;7;15;9;0;2015;7;27;8;21;"";"884-887";"No";"";"";"";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";196;208;202;2015;7;21;287.35
"11482-5-A-2015";11482;"S. Johnson";"Blue Vane";5;"A";2015;7;27;8;21;2015;8;10;8;38;"";"589-592";"No";"";"W field of alfalfa";"";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";208;222;215;2015;8;3;336.2833
